Date,Discount
8/22/23,84.03
8/23/23,83.21
8/24/23,83.36
8/25/23,84.48
8/28/23,84.42
8/29/23,85.49
8/30/23,85.86
8/31/23,86.86
9/1/23,88.55
9/4/23,89
9/5/23,90.04
9/6/23,90.6
9/7/23,89.92
9/8/23,90.65
9/11/23,90.64
9/12/23,92.06
9/13/23,91.88
9/14/23,93.7
9/15/23,93.93
9/18/23,94.43
9/19/23,94.34
9/20/23,93.53
9/21/23,93.3
9/22/23,93.27
9/25/23,93.29
9/26/23,93.96
9/27/23,96.55
9/28/23,95.38
9/29/23,95.31
10/2/23,90.71
10/3/23,90.92
10/4/23,85.81
10/5/23,84.07
10/6/23,84.58
10/9/23,88.15
10/10/23,87.65
10/11/23,85.82
10/12/23,86
10/13/23,90.89
10/16/23,89.65
10/17/23,89.9
10/18/23,91.5
10/19/23,92.38
10/20/23,92.16
10/23/23,89.83
10/24/23,88.07
10/25/23,90.13
10/26/23,87.93
10/27/23,90.48
10/30/23,87.45
10/31/23,87.41
11/1/23,84.63
11/2/23,86.85
11/3/23,84.89
11/6/23,85.18
11/7/23,81.61
11/8/23,79.54
11/9/23,80.01
11/10/23,81.43
11/13/23,82.52
11/14/23,82.47
11/15/23,81.18
11/16/23,77.42
11/17/23,80.61
11/20/23,82.32
11/21/23,82.45
11/22/23,81.96
11/23/23,81.42
11/24/23,80.58
11/27/23,79.98
11/28/23,81.68
11/29/23,83.1
11/30/23,82.83
12/1/23,78.88
12/4/23,78.03
12/5/23,77.2
12/6/23,74.3
12/7/23,74.05
12/8/23,75.84
12/11/23,76.03
12/12/23,73.24
12/13/23,74.26
12/14/23,76.61
12/15/23,76.55
12/18/23,77.95
12/19/23,79.23
12/20/23,79.7
12/21/23,79.39
12/22/23,79.07
12/25/23,79.07
12/26/23,81.07
12/27/23,79.65
12/28/23,78.39
12/29/23,77.04
1/1/24,77.04
1/2/24,75.89
1/3/24,78.25
1/4/24,77.59
1/5/24,78.76
1/8/24,76.12
1/9/24,77.71
