commodity_group,departure_date,destination,volume,Date
Oil products,2022-08-31T00:00:00Z,EU,1.059822411,8/31/2022
Oil products,2022-09-01T00:00:00Z,EU,0.996781051,9/1/2022
Oil products,2022-09-02T00:00:00Z,EU,1.042818322,9/2/2022
Oil products,2022-09-03T00:00:00Z,EU,1.031510239,9/3/2022
Oil products,2022-09-04T00:00:00Z,EU,1.015870391,9/4/2022
Oil products,2022-09-05T00:00:00Z,EU,0.97344115,9/5/2022
Oil products,2022-09-06T00:00:00Z,EU,0.982914003,9/6/2022
Oil products,2022-09-07T00:00:00Z,EU,1.023464124,9/7/2022
Oil products,2022-09-08T00:00:00Z,EU,0.993357826,9/8/2022
Oil products,2022-09-09T00:00:00Z,EU,0.980156447,9/9/2022
Oil products,2022-09-10T00:00:00Z,EU,0.986076329,9/10/2022
Oil products,2022-09-11T00:00:00Z,EU,0.979214998,9/11/2022
Oil products,2022-09-12T00:00:00Z,EU,0.982178569,9/12/2022
Oil products,2022-09-13T00:00:00Z,EU,0.988238816,9/13/2022
Oil products,2022-09-14T00:00:00Z,EU,1.017890259,9/14/2022
Oil products,2022-09-15T00:00:00Z,EU,1.000420637,9/15/2022
Oil products,2022-09-16T00:00:00Z,EU,0.968375612,9/16/2022
Oil products,2022-09-17T00:00:00Z,EU,0.963540673,9/17/2022
Oil products,2022-09-18T00:00:00Z,EU,0.958978433,9/18/2022
Oil products,2022-09-19T00:00:00Z,EU,0.976476973,9/19/2022
Oil products,2022-09-20T00:00:00Z,EU,0.939150078,9/20/2022
Oil products,2022-09-21T00:00:00Z,EU,0.93181062,9/21/2022
Oil products,2022-09-22T00:00:00Z,EU,0.959646932,9/22/2022
Oil products,2022-09-23T00:00:00Z,EU,0.938083661,9/23/2022
Oil products,2022-09-24T00:00:00Z,EU,0.978613053,9/24/2022
Oil products,2022-09-25T00:00:00Z,EU,1.000391445,9/25/2022
Oil products,2022-09-26T00:00:00Z,EU,0.960678096,9/26/2022
Oil products,2022-09-27T00:00:00Z,EU,0.943265935,9/27/2022
Oil products,2022-09-28T00:00:00Z,EU,0.951933657,9/28/2022
Oil products,2022-09-29T00:00:00Z,EU,0.97831964,9/29/2022
Oil products,2022-09-30T00:00:00Z,EU,0.957359348,9/30/2022
Oil products,2022-10-01T00:00:00Z,EU,0.970144819,10/1/2022
Oil products,2022-10-02T00:00:00Z,EU,0.95342926,10/2/2022
Oil products,2022-10-03T00:00:00Z,EU,0.941835017,10/3/2022
Oil products,2022-10-04T00:00:00Z,EU,0.924231769,10/4/2022
Oil products,2022-10-05T00:00:00Z,EU,0.961257388,10/5/2022
Oil products,2022-10-06T00:00:00Z,EU,0.957442121,10/6/2022
Oil products,2022-10-07T00:00:00Z,EU,0.946787775,10/7/2022
Oil products,2022-10-08T00:00:00Z,EU,0.962354509,10/8/2022
Oil products,2022-10-09T00:00:00Z,EU,0.97158011,10/9/2022
Oil products,2022-10-10T00:00:00Z,EU,0.973023226,10/10/2022
Oil products,2022-10-11T00:00:00Z,EU,0.97480025,10/11/2022
Oil products,2022-10-12T00:00:00Z,EU,0.982374821,10/12/2022
Oil products,2022-10-13T00:00:00Z,EU,0.959220648,10/13/2022
Oil products,2022-10-14T00:00:00Z,EU,0.926753179,10/14/2022
Oil products,2022-10-15T00:00:00Z,EU,0.91355107,10/15/2022
Oil products,2022-10-16T00:00:00Z,EU,0.965429169,10/16/2022
Oil products,2022-10-17T00:00:00Z,EU,0.968546408,10/17/2022
Oil products,2022-10-18T00:00:00Z,EU,0.964662781,10/18/2022
Oil products,2022-10-19T00:00:00Z,EU,0.966321529,10/19/2022
Oil products,2022-10-20T00:00:00Z,EU,1.005032532,10/20/2022
Oil products,2022-10-21T00:00:00Z,EU,1.010284083,10/21/2022
Oil products,2022-10-22T00:00:00Z,EU,0.990260647,10/22/2022
Oil products,2022-10-23T00:00:00Z,EU,0.996537905,10/23/2022
Oil products,2022-10-24T00:00:00Z,EU,0.987100005,10/24/2022
Oil products,2022-10-25T00:00:00Z,EU,0.998600054,10/25/2022
Oil products,2022-10-26T00:00:00Z,EU,1.027464946,10/26/2022
Oil products,2022-10-27T00:00:00Z,EU,0.995141439,10/27/2022
Oil products,2022-10-28T00:00:00Z,EU,0.996940488,10/28/2022
Oil products,2022-10-29T00:00:00Z,EU,0.972290725,10/29/2022
Oil products,2022-10-30T00:00:00Z,EU,0.990349201,10/30/2022
Oil products,2022-10-31T00:00:00Z,EU,0.983411526,10/31/2022
Oil products,2022-11-01T00:00:00Z,EU,0.986129866,11/1/2022
Oil products,2022-11-02T00:00:00Z,EU,1.014989076,11/2/2022
Oil products,2022-11-03T00:00:00Z,EU,1.085671713,11/3/2022
Oil products,2022-11-04T00:00:00Z,EU,1.063505053,11/4/2022
Oil products,2022-11-05T00:00:00Z,EU,1.078573315,11/5/2022
Oil products,2022-11-06T00:00:00Z,EU,1.067777179,11/6/2022
Oil products,2022-11-07T00:00:00Z,EU,1.092269716,11/7/2022
Oil products,2022-11-08T00:00:00Z,EU,1.114642394,11/8/2022
Oil products,2022-11-09T00:00:00Z,EU,1.119711341,11/9/2022
Oil products,2022-11-10T00:00:00Z,EU,1.134694788,11/10/2022
